work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior-level,Full-time,Business Intelligence Engineer,202800.0,USD,202800.0,United States,On-site,United States,Large
2023,Senior-level,Full-time,Business Intelligence Engineer,104300.0,USD,104300.0,United States,On-site,United States,Large
2023,Mid-level,Full-time,Data Manager,60000.0,GBP,73824.0,United Kingdom,On-site,United Kingdom,Medium
2023,Mid-level,Full-time,Data Manager,55000.0,GBP,67672.0,United Kingdom,On-site,United Kingdom,Medium
2023,Senior-level,Full-time,Data Scientist,290000.0,USD,290000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Scientist,173200.0,USD,173200.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Scientist,235000.0,USD,235000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Data Scientist,204000.0,USD,204000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Machine Learning Scientist,300000.0,USD,300000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Scientist,222000.0,USD,222000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Analytics Engineer,160000.0,USD,160000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Analytics Engineer,136000.0,USD,136000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Architect,206000.0,USD,206000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Architect,134000.0,USD,134000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Scientist,155000.0,USD,155000.0,Canada,On-site,Canada,Medium
2023,Senior-level,Full-time,Data Scientist,105000.0,USD,105000.0,Canada,On-site,Canada,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,287500.0,USD,287500.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,212500.0,USD,212500.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,190027.0,USD,190027.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,152022.0,USD,152022.0,United States,On-site,United States,Medium
2023,Entry-level,Full-time,Data Scientist,18000.0,EUR,19434.0,Greece,Fully remote,Greece,Large
2023,Mid-level,Full-time,Data Engineer,130000.0,USD,130000.0,United States,Fully remote,United States,Medium
2023,Mid-level,Full-time,Data Engineer,100000.0,USD,100000.0,United States,Fully remote,United States,Medium
2023,Mid-level,Full-time,Data Engineer,250000.0,USD,250000.0,United States,On-site,United States,Medium
2023,Mid-level,Full-time,Data Engineer,125000.0,USD,125000.0,United States,On-site,United States,Medium
2023,Mid-level,Full-time,Data Engineer,131000.0,USD,131000.0,Colombia,On-site,Colombia,Medium
2023,Mid-level,Full-time,Data Engineer,88000.0,USD,88000.0,Colombia,On-site,Colombia,Medium
2023,Entry-level,Full-time,Data Analyst,80000.0,USD,80000.0,United States,On-site,United States,Medium
2023,Entry-level,Full-time,Data Analyst,50000.0,USD,50000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,198000.0,USD,198000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,132000.0,USD,132000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Business Intelligence Engineer,125000.0,USD,125000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Business Intelligence Engineer,115000.0,USD,115000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Data Engineer,184000.0,USD,184000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Engineer,123000.0,USD,123000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Manager,145000.0,USD,145000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Manager,130000.0,USD,130000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,170700.0,USD,170700.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,113900.0,USD,113900.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Engineer,184000.0,USD,184000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Engineer,123000.0,USD,123000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,280000.0,USD,280000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,200000.0,USD,200000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Engineer,185000.0,USD,185000.0,United States,On-site,United States,Large
2023,Senior-level,Full-time,Data Engineer,81000.0,USD,81000.0,United States,On-site,United States,Large
2023,Senior-level,Full-time,Machine Learning Engineer,220000.0,USD,220000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Machine Learning Engineer,80000.0,USD,80000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Scientist,185000.0,USD,185000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Scientist,123000.0,USD,123000.0,United States,On-site,United States,Medium
2023,Executive-level,Full-time,Data Manager,80000.0,USD,80000.0,United States,On-site,United States,Medium
2023,Executive-level,Full-time,Data Manager,75000.0,USD,75000.0,United States,On-site,United States,Medium
2023,Mid-level,Full-time,Research Scientist,150000.0,USD,150000.0,United States,On-site,United States,Medium
2023,Mid-level,Full-time,Research Scientist,130000.0,USD,130000.0,United States,On-site,United States,Medium
2023,Mid-level,Full-time,Data Analyst,53000.0,USD,53000.0,United States,Fully remote,United States,Medium
2023,Mid-level,Full-time,Data Analyst,48000.0,USD,48000.0,United States,Fully remote,United States,Medium
2023,Mid-level,Full-time,Analytics Engineer,300000.0,GBP,369120.0,United Kingdom,On-site,United Kingdom,Medium
2023,Mid-level,Full-time,Analytics Engineer,60000.0,GBP,73824.0,United Kingdom,On-site,United Kingdom,Medium
2023,Mid-level,Full-time,Data Scientist,150000.0,USD,150000.0,United States,On-site,United States,Medium
2023,Mid-level,Full-time,Data Scientist,125000.0,USD,125000.0,United States,On-site,United States,Medium
2023,Senior-level,Full-time,Data Scientist,150000.0,USD,150000.0,United States,Fully remote,United States,Medium
2023,Senior-level,Full-time,Data Scientist,130000.0,USD,130000.0,United States,Fully remote,United States,Medium
2023,Mid-level,Full-time,Data Engineer,57500.0,GBP,70748.0,United Kingdom,On-site,United Kingdom,Medium
2023,Mid-level,Full-time,Data Engineer,54500.0,GBP,67056.0,United Kingdom,On-site,United Kingdom,Medium
